Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - ALD89117.1	superfamily	253459	203	610	7.25617e-87	285.82	cl05469	Mitovir_RNA_pol superfamily	 - 	 - 
Q#2 - ALD89128.1	superfamily	253459	302	524	1.05048e-91	292.368	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#3 - ALD89126.1	superfamily	253459	281	555	6.06244e-94	307.391	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#4 - ANR02692.1	superfamily	253459	1	224	6.71936e-97	294.679	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#5 - AVA17449.1	superfamily	253459	286	508	3.16137e-98	313.554	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#6 - YP_009272901.1	superfamily	253459	185	499	3.11777e-113	349.763	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#7 - AIS39016.1	superfamily	253459	11	376	3.64474e-112	344.37	cl05469	Mitovir_RNA_pol superfamily	 - 	 - 
Q#8 - YP_002284334.2	specific	253459	174	654	3.16931e-159	474.182	pfam05919	Mitovir_RNA_pol	 - 	cl05469
Q#9 - AVH76945.1	superfamily	253459	296	539	1.68257e-58	206.854	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#10 - CAJ32468.1	specific	253459	174	654	1.33918e-164	488.05	pfam05919	Mitovir_RNA_pol	 - 	cl05469
Q#11 - DAB41758.1	superfamily	253459	296	539	2.09412e-59	209.55	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#12 - DAB41742.1	superfamily	253459	296	539	1.38551e-58	206.854	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#13 - DAB41759.1	superfamily	253459	296	539	1.71351e-59	209.935	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#14 - CEZ26296.1	specific	253459	174	654	3.36595e-163	484.583	pfam05919	Mitovir_RNA_pol	 - 	cl05469
Q#15 - DAB41757.1	superfamily	253459	296	539	4.35338e-59	208.78	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#16 - CEZ26300.1	specific	253459	182	654	6.31817e-162	481.116	pfam05919	Mitovir_RNA_pol	 - 	cl05469
Q#17 - ALD89119.1	superfamily	253459	449	785	7.97109e-81	274.264	cl05469	Mitovir_RNA_pol superfamily	 - 	 - 
Q#18 - AMM45292.1	superfamily	253459	367	737	5.85881e-91	302.383	cl05469	Mitovir_RNA_pol superfamily	C	 - 
